,R03_sales,R06_sales,N02BE_sales,resp_index,flu_index,flu_lag_2,R03_log,R03_log_diff
2015-09-14,17.0,18.0,189.1,35.0,144.0,109.33333333333333,2.8903717578961645,-0.32850406697203605
2015-09-21,17.0,14.0,207.075,31.0,137.66666666666666,121.0,2.8903717578961645,0.0
2015-09-28,50.0,10.0,245.662,60.0,129.0,144.0,3.9318256327243257,1.0414538748281612
2015-10-05,51.0,18.0,333.337,69.0,143.0,137.66666666666666,3.9512437185814275,0.019418085857101808
2015-10-12,32.0,16.0,423.174,48.0,180.66666666666666,129.0,3.4965075614664802,-0.4547361571149473
2015-10-19,40.0,19.0,352.762,59.0,220.0,143.0,3.713572066704308,0.21706450523782772
2015-10-26,33.0,12.0,377.4,45.0,219.66666666666666,180.66666666666666,3.5263605246161616,-0.1872115420881464
2015-11-02,33.0,10.0,342.875,43.0,213.66666666666666,220.0,3.5263605246161616,0.0
2015-11-09,70.0,7.0,249.3,77.0,229.33333333333334,219.66666666666666,4.2626798770413155,0.7363193524251539
2015-11-16,32.0,13.0,273.5,45.0,243.33333333333334,213.66666666666666,3.4965075614664802,-0.7661723155748352
2015-11-23,19.0,11.0,253.6,30.0,262.6666666666667,229.33333333333334,2.995732273553991,-0.5007752879124894
2015-11-30,25.0,9.33,278.25,34.33,278.0,243.33333333333334,3.258096538021482,0.2623642644674913
2015-12-07,72.0,11.1,234.887,83.1,310.6666666666667,262.6666666666667,4.290459441148391,1.0323629031269088
2015-12-14,52.0,6.0,216.6,58.0,413.6666666666667,278.0,3.970291913552122,-0.320167527596269
2015-12-21,50.0,11.3,330.062,61.3,492.3333333333333,310.6666666666667,3.9318256327243257,-0.03846628082779624
2015-12-28,48.0,13.0,341.15,61.0,617.6666666666666,413.6666666666667,3.8918202981106265,-0.04000533461369926
2016-01-04,35.0,9.0,342.2,44.0,745.3333333333334,492.3333333333333,3.58351893845611,-0.30830135965451655
2016-01-11,21.0,12.0,365.25,33.0,986.3333333333334,617.6666666666666,3.091042453358316,-0.49247648509779385
2016-01-18,46.0,17.0,320.5,63.0,1297.6666666666667,745.3333333333334,3.8501476017100584,0.7591051483517424
2016-01-25,62.0,12.5,341.074,74.5,1770.0,986.3333333333334,4.143134726391533,0.29298712468147414
2016-02-01,37.0,10.0,321.824,47.0,2451.0,1297.6666666666667,3.6375861597263857,-0.5055485666651469
2016-02-08,78.0,16.0,294.613,94.0,3468.6666666666665,1770.0,4.3694478524670215,0.7318616927406358
2016-02-15,60.0,12.0,272.95,72.0,4820.666666666667,2451.0,4.110873864173311,-0.25857398829371014
2016-02-22,67.0,19.0,289.275,86.0,6505.333333333333,3468.6666666666665,4.219507705176107,0.1086338410027956
2016-02-29,28.0,19.0,298.8,47.0,8296.333333333334,4820.666666666667,3.367295829986474,-0.8522118751896328
2016-03-07,62.0,12.34,255.7,74.34,10142.333333333334,6505.333333333333,4.143134726391533,0.7758388964050584
2016-03-14,81.0,26.0,244.662,107.0,10420.0,8296.333333333334,4.406719247264253,0.2635845208727208
2016-03-21,52.0,26.0,283.488,78.0,9510.333333333334,10142.333333333334,3.970291913552122,-0.4364273337121314
